Frequency ID,Real Part,Imaginary Part
21688,-3.290203676442616e-05,5951.3828125
5048,-3.2902040402404964e-05,-37536.625
56248,-3.290204404038377e-05,17986.142578125
9144,-3.290204767836258e-05,-4217.3828125
50360,-3.2902051316341385e-05,-5641.2236328125
46264,-3.290205495432019e-05,-9258.0166015625
11192,-3.2902058592299e-05,3956.92041015625
40120,-3.2902062230277807e-05,-12407.7080078125
63928,-3.2902065868256614e-05,-15121.7783203125
57272,-3.290206950623542e-05,9720.7890625
59320,-3.290207314421423e-05,-5086.9931640625
58808,-3.2902076782193035e-05,-184.4841766357422
26040,-3.290208042017184e-05,-14591.083984375
11448,-3.290208405815065e-05,5750.15087890625
12984,-3.2902087696129456e-05,2984.58984375
53176,-3.290209133410826e-05,-4073.514892578125
41656,-3.290209497208707e-05,4762.47802734375
35768,-3.290209861006588e-05,6794.18408203125
27576,-3.2902102248044685e-05,-19898.009765625
4024,-3.290210588602349e-05,-6345.43115234375
46520,-3.29021095240023e-05,10183.375
53944,-3.2902113161981106e-05,6718.02783203125
40120,-3.290211679995991e-05,-9398.7568359375
18616,-3.290212043793872e-05,15480.29296875
27576,-3.290212407591753e-05,-693.3866577148438
9912,-3.2902127713896334e-05,-9300.2353515625
43960,-3.290213135187514e-05,3229.385986328125
53432,-3.290213498985395e-05,6709.21630859375
2744,-3.2902138627832755e-05,6736.12255859375
3256,-3.290214226581156e-05,5598.89501953125
60344,-3.290214590379037e-05,3106.542724609375
22456,-3.290214954176918e-05,11600.3916015625
32952,-3.2902153179747984e-05,8764.44921875
22968,-3.290215681772679e-05,16232.5576171875
42168,-3.29021604557056e-05,-3569.24951171875
15032,-3.2902164093684405e-05,496.2259521484375
60344,-3.290216773166321e-05,-3268.217529296875
32184,-3.290217136964202e-05,59950.1328125
48568,-3.2902175007620826e-05,4228.69189453125
14776,-3.2902178645599633e-05,4323.0107421875
63416,-3.290218228357844e-05,-3438.130615234375
3256,-3.290218592155725e-05,-8948.9287109375
23992,-3.2902189559536055e-05,-3402.5283203125
61368,-3.290219319751486e-05,-12071.06640625
16568,-3.290219683549367e-05,13155.642578125
50360,-3.2902200473472476e-05,3589.950439453125
59320,-3.290220411145128e-05,-849.5010986328125
22456,-3.290220774943009e-05,3205.420166015625
5816,-3.29022113874089e-05,5546.87451171875
65208,-3.2902215025387704e-05,2267.4755859375
15544,-3.290221866336651e-05,52.79755401611328
23224,-3.290222230134532e-05,-17207.966796875
31416,-3.2902225939324126e-05,-5346.79931640625
20152,-3.290222957730293e-05,5297.05712890625
35000,-3.290223321528174e-05,2965.026123046875
36280,-3.290223685326055e-05,4260.64404296875
47288,-3.2902240491239354e-05,6866.49560546875
39352,-3.290224412921816e-05,-4676.712890625
19128,-3.290224776719697e-05,-7976.2763671875
9144,-3.2902251405175775e-05,4073.2294921875
40120,-3.290225504315458e-05,6586.8955078125
17848,-3.290225868113339e-05,-8049.13427734375
50104,-3.2902262319112197e-05,2841.58154296875
55736,-3.2902265957091004e-05,218.40988159179688
21176,-3.290226959506981e-05,2714.202392578125
53176,-3.290227323304862e-05,5102.1533203125
64696,-3.2902276871027425e-05,628.5999145507812
21176,-3.290228050900623e-05,-21777.599609375
11448,-3.290228414698504e-05,13643.845703125
51896,-3.2902287784963846e-05,4566.5244140625
49592,-3.290229142294265e-05,3818.718017578125
184,-3.290229506092146e-05,8175.1708984375
21944,-3.290229869890027e-05,-1782.95166015625
15800,-3.2902302336879075e-05,10404.1435546875
54200,-3.290230597485788e-05,-3087.66015625
51640,-3.290230961283669e-05,3461.524658203125
50616,-3.2902313250815496e-05,-876.5370483398438
52408,-3.29023168887943e-05,-8630.8291015625
36536,-3.290232052677311e-05,-6557.55078125
63416,-3.290232416475192e-05,-2273.989013671875
40120,-3.2902327802730724e-05,-6837.63671875
23992,-3.290233144070953e-05,1810.072021484375
55736,-3.290233507868834e-05,-24128.26953125
2232,-3.2902338716667145e-05,-899.4114990234375
44216,-3.290234235464595e-05,10592.060546875
31416,-3.290234599262476e-05,12010.03125
32440,-3.290234963060357e-05,2478.980224609375
8376,-3.2902353268582374e-05,-1620.7313232421875
10936,-3.290235690656118e-05,2583.056640625
33464,-3.290236054453999e-05,-7136.80322265625
58552,-3.2902364182518795e-05,342.8385314941406
60088,-3.29023678204976e-05,3777.0126953125
35256,-3.290237145847641e-05,2334.477294921875
55992,-3.2902375096455216e-05,-2825.697265625
53432,-3.2902378734434023e-05,7413.15625
36792,-3.290238237241283e-05,6128.978515625
54712,-3.290238601039164e-05,-994.2623291015625
